src,dest
Sac1,BRESTL31LILLE
Sac19,BRESTL31LILLE
Sac30,BRESTL31LILLE
Sac33,BRESTL31LILLE
Sac4,BRESTL31LILLE
Sac10,BRESTL31PARIS
Sac32,BRESTL31PARIS
Sac35,BRESTL31PARIS
Sac4,BRESTL31PARIS
Sac5,BRESTL31PARIS
Sac1,BRESTL32LILLE
Sac20,BRESTL32LILLE
Sac31,BRESTL32LILLE
Sac34,BRESTL32LILLE
Sac5,BRESTL32LILLE
Sac2,BRESTL61LILLE
Sac21,BRESTL61LILLE
Sac42,BRESTL61LILLE
Sac45,BRESTL61LILLE
Sac6,BRESTL61LILLE
Sac11,BRESTL61PARIS
Sac44,BRESTL61PARIS
Sac47,BRESTL61PARIS
Sac6,BRESTL61PARIS
Sac7,BRESTL61PARIS
Sac2,BRESTL62LILLE
Sac22,BRESTL62LILLE
Sac43,BRESTL62LILLE
Sac46,BRESTL62LILLE
Sac7,BRESTL62LILLE
Sac23,BRESTL71LILLE
Sac3,BRESTL71LILLE
Sac8,BRESTL71LILLE
Sac12,BRESTL71PARIS
Sac8,BRESTL71PARIS
Sac9,BRESTL71PARIS
Sac24,BRESTL72LILLE
Sac3,BRESTL72LILLE
Sac9,BRESTL72LILLE
Sac32,BRESTY631
Sac33,BRESTY631
Sac34,BRESTY631
Sac49,BRESTY631
Sac50,BRESTY631
Sac51,BRESTY631
Sac52,BRESTY631
Sac53,BRESTY631
Sac55,BRESTY631
Sac44,BRESTY761
Sac45,BRESTY761
Sac46,BRESTY761
Sac56,BRESTY761
Sac57,BRESTY761
Sac58,BRESTY761
Sac59,BRESTY761
Sac60,BRESTY761
Sac62,BRESTY761
Sac16,LILLEL31NANCY
Sac19,LILLEL31NANCY
Sac20,LILLEL31NANCY
Sac25,LILLEL31NANCY
Sac29,LILLEL31NANCY
Sac17,LILLEL61NANCY
Sac21,LILLEL61NANCY
Sac22,LILLEL61NANCY
Sac37,LILLEL61NANCY
Sac41,LILLEL61NANCY
Sac18,LILLEL71NANCY
Sac23,LILLEL71NANCY
Sac24,LILLEL71NANCY
Sac29,LILLEY631
Sac30,LILLEY631
Sac31,LILLEY631
Sac49,LILLEY631
Sac50,LILLEY631
Sac51,LILLEY631
Sac41,LILLEY761
Sac42,LILLEY761
Sac43,LILLEY761
Sac56,LILLEY761
Sac57,LILLEY761
Sac58,LILLEY761
Sac13,NANCYL31ROUEN
Sac16,NANCYL31ROUEN
Sac26,NANCYL31ROUEN
Sac27,NANCYL31ROUEN
Sac14,NANCYL61ROUEN
Sac17,NANCYL61ROUEN
Sac38,NANCYL61ROUEN
Sac39,NANCYL61ROUEN
Sac15,NANCYL71ROUEN
Sac18,NANCYL71ROUEN
Sac25,NANCYY631
Sac26,NANCYY631
Sac50,NANCYY631
Sac53,NANCYY631
Sac54,NANCYY631
Sac55,NANCYY631
Sac37,NANCYY761
Sac38,NANCYY761
Sac57,NANCYY761
Sac60,NANCYY761
Sac61,NANCYY761
Sac62,NANCYY761
Sac10,PARISL31ROUEN
Sac13,PARISL31ROUEN
Sac28,PARISL31ROUEN
Sac36,PARISL31ROUEN
Sac11,PARISL61ROUEN
Sac14,PARISL61ROUEN
Sac40,PARISL61ROUEN
Sac48,PARISL61ROUEN
Sac12,PARISL71ROUEN
Sac15,PARISL71ROUEN
Sac35,PARISY631
Sac36,PARISY631
Sac49,PARISY631
Sac52,PARISY631
Sac53,PARISY631
Sac54,PARISY631
Sac47,PARISY761
Sac48,PARISY761
Sac56,PARISY761
Sac59,PARISY761
Sac60,PARISY761
Sac61,PARISY761
Sac27,ROUENY631
Sac28,ROUENY631
Sac51,ROUENY631
Sac52,ROUENY631
Sac54,ROUENY631
Sac55,ROUENY631
Sac39,ROUENY761
Sac40,ROUENY761
Sac58,ROUENY761
Sac59,ROUENY761
Sac61,ROUENY761
Sac62,ROUENY761
Sac64,BRESTL31LILLE
Sac64,BRESTL32LILLE
Sac63,NANCYL61REIMS
Sac63,REIMSL61ROUEN
