id,Quantity,InstallationDate,HealthScore,DateOfLastSpecificAction,DateOfLastStateRecording,ExtraArea,EnvironmentAgingRate,KnownApparentAge,SAIDI15min,ExtraAreaLevel2,EstimatedDowntime,CustomData_Number,CustomData_String,ConsequenceSpecificQuantity
BREST_P31_BC31_HT_DJ_OP63_Disjoncteurs_DJ_50,1,1963-01-01,2,2010-06-19,2010-05-12,BRETAGNE,1,1,1,NANTES,,,"{""RateLevel"":""HTB1"",""SerialNumber"":""ABC_XYZ1""}",
BREST_P31_BC31_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,1,1958-01-01,57,2011-11-22,2011-07-17,BRETAGNE,1,11,1,NANTES,7.01923,,"{""RateLevel"":""HTB1"",""SerialNumber"":""ABC_XYZ2""}",
BREST_P31_BO31_HT_SansType_Controles_Commande_Local_FondPoste_Analogique,1,1950-01-01,65,2013-04-21,2011-10-03,BRETAGNE,1,52,1,NANTES,7.01923,,"{""RateLevel"":""HTB1"",""SerialNumber"":""ABC_XYZ3""}",
BREST_P31_L31LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,1,1975-01-01,40,2012-05-18,2014-06-01,BRETAGNE,1,30,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_L31LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,1,1988-01-01,27,2012-10-21,2011-04-28,POITOU CHARENTES,1,6,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_L31LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,1,1977-01-01,38,2013-09-19,2014-03-01,BRETAGNE,1,24,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_L31LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,1,2002-01-01,13,2011-10-05,2014-12-24,BRETAGNE,1,8,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_L31PARIS_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,1,1970-01-01,5,2013-12-24,2013-07-18,BRETAGNE,1,1,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_L31PARIS_HT_DJ_FXT_72_Disjoncteurs_DJ_35,1,1980-01-01,35,2014-12-06,2011-03-27,BRETAGNE,1,16,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_L31PARIS_HT_S_SPE_72_2_Rep_LT_Sectionneurs_SA_45,1,1974-01-01,41,2014-05-26,2010-05-27,BRETAGNE,1,8,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_L31PARIS_HT_TC_SDA_72_90_Transformateurs_de_Mesure_TDM>=30,1,1991-01-01,24,2012-10-11,2010-11-04,BRETAGNE,1,11,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
