id,AssetClass,Quantity,RatingLevel,HRCategories,BudgetCategories
Group BREST_P31_BC31_HT_DJ_OP63_Disjoncteurs_DJ_50,Disjoncteurs,1,HTB1,"""[""BRETAGNE"",""Disjoncteurs""]""",
Group BREST_P31_BC31_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,Sectionneurs,1,HTB1,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P31_BO31_HT_SansType_Controles_Commande_Local_FondPoste_Analogique,Contrôles Commande Local,1,HTB1,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P31_L31LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB1,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P31_L31LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,Disjoncteurs,1,HTB1,"""[""POITOU CHARENTES"",""Disjoncteurs""]""",
Group BREST_P31_L31LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,Sectionneurs,1,HTB1,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P31_L31LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,Transformateurs de Mesure,1,HTB1,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P31_L31PARIS_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB1,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P31_L31PARIS_HT_DJ_FXT_72_Disjoncteurs_DJ_35,Disjoncteurs,1,HTB1,"""[""BRETAGNE"",""Disjoncteurs""]""",
Group BREST_P31_L31PARIS_HT_S_SPE_72_2_Rep_LT_Sectionneurs_SA_45,Sectionneurs,1,HTB1,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P31_L31PARIS_HT_TC_SDA_72_90_Transformateurs_de_Mesure_TDM>=30,Transformateurs de Mesure,1,HTB1,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P31_L32LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,Disjoncteurs,1,HTB1,"""[""POITOU CHARENTES"",""Disjoncteurs""]""",
Group BREST_P31_L32LILLE_HT_Electre_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB1,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P31_L32LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,Sectionneurs,1,HTB1,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P31_L32LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,Transformateurs de Mesure,1,HTB1,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P31_Y631_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB1,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P31_Y631_HT_DJ_HPGE_9_12E_Disjoncteurs_DJ_40,Disjoncteurs,1,HTB1,"""[""BRETAGNE"",""Disjoncteurs""]""",
Group BREST_P31_Y631_HT_S_5361_Rep_LT_Sectionneurs_SA_50,Sectionneurs,1,HTB1,"""[""BRETAGNE"",""Sectionneurs""]""",
