src,dest
Group BREST_P31_BC31_HT_DJ_OP63_Disjoncteurs_DJ_50,BREST_P31_BC31_HT_DJ_OP63_Disjoncteurs_DJ_50
Group BREST_P31_BC31_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,BREST_P31_BC31_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60
Group BREST_P31_BO31_HT_SansType_Controles_Commande_Local_FondPoste_Analogique,BREST_P31_BO31_HT_SansType_Controles_Commande_Local_FondPoste_Analogique
Group BREST_P31_L31LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,BREST_P31_L31LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique
Group BREST_P31_L31LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,BREST_P31_L31LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35
Group BREST_P31_L31LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,BREST_P31_L31LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40
Group BREST_P31_L31LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,BREST_P31_L31LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30
Group BREST_P31_L31PARIS_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,BREST_P31_L31PARIS_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique
Group BREST_P31_L31PARIS_HT_DJ_FXT_72_Disjoncteurs_DJ_35,BREST_P31_L31PARIS_HT_DJ_FXT_72_Disjoncteurs_DJ_35
Group BREST_P31_L31PARIS_HT_S_SPE_72_2_Rep_LT_Sectionneurs_SA_45,BREST_P31_L31PARIS_HT_S_SPE_72_2_Rep_LT_Sectionneurs_SA_45
Group BREST_P31_L31PARIS_HT_TC_SDA_72_90_Transformateurs_de_Mesure_TDM>=30,BREST_P31_L31PARIS_HT_TC_SDA_72_90_Transformateurs_de_Mesure_TDM>=30
Group BREST_P31_L32LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,BREST_P31_L32LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35
Group BREST_P31_L32LILLE_HT_Electre_Controles_Commande_Local_Tranche_Analogique,BREST_P31_L32LILLE_HT_Electre_Controles_Commande_Local_Tranche_Analogique
Group BREST_P31_L32LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,BREST_P31_L32LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40
Group BREST_P31_L32LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,BREST_P31_L32LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30
Group BREST_P31_Y631_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,BREST_P31_Y631_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique
Group BREST_P31_Y631_HT_DJ_HPGE_9_12E_Disjoncteurs_DJ_40,BREST_P31_Y631_HT_DJ_HPGE_9_12E_Disjoncteurs_DJ_40
Group BREST_P31_Y631_HT_S_5361_Rep_LT_Sectionneurs_SA_50,BREST_P31_Y631_HT_S_5361_Rep_LT_Sectionneurs_SA_50
Group BREST_P31_Y631_HT_TT_VTS72_33_70P1_Transformateurs_de_Mesure_TDM_50,BREST_P31_Y631_HT_TT_VTS72_33_70P1_Transformateurs_de_Mesure_TDM_50
Group BREST_P31_Y631_HT_Y_Sans_Type_Transformateurs_de_Puissance_TDP,BREST_P31_Y631_HT_Y_Sans_Type_Transformateurs_de_Puissance_TDP
Group BREST_P32_BC31_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,BREST_P32_BC31_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60
Group BREST_P32_L31LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,BREST_P32_L31LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30
Group BREST_P32_L32LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,BREST_P32_L32LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30
Group BREST_P61_BC61_HT_DJ_OP63_Disjoncteurs_DJ_50,BREST_P61_BC61_HT_DJ_OP63_Disjoncteurs_DJ_50
Group BREST_P61_BC61_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,BREST_P61_BC61_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60
Group BREST_P61_BO61_HT_SansType_Controles_Commande_Local_FondPoste_Analogique,BREST_P61_BO61_HT_SansType_Controles_Commande_Local_FondPoste_Analogique
Group BREST_P61_L61LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,BREST_P61_L61LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique
Group BREST_P61_L61LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,BREST_P61_L61LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35
Group BREST_P61_L61LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,BREST_P61_L61LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40
Group BREST_P61_L61LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,BREST_P61_L61LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30
Group BREST_P61_L61PARIS_HT_DJ_FXT_72_Disjoncteurs_DJ_35,BREST_P61_L61PARIS_HT_DJ_FXT_72_Disjoncteurs_DJ_35
Group BREST_P61_L61PARIS_HT_Electre_Controles_Commande_Local_Tranche_Analogique,BREST_P61_L61PARIS_HT_Electre_Controles_Commande_Local_Tranche_Analogique
Group BREST_P61_L61PARIS_HT_S_SPE_72_2_Rep_LT_Sectionneurs_SA_45,BREST_P61_L61PARIS_HT_S_SPE_72_2_Rep_LT_Sectionneurs_SA_45
Group BREST_P61_L61PARIS_HT_TC_SDA_72_90_Transformateurs_de_Mesure_TDM>=30,BREST_P61_L61PARIS_HT_TC_SDA_72_90_Transformateurs_de_Mesure_TDM>=30
Group BREST_P61_L62LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,BREST_P61_L62LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique
Group BREST_P61_L62LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,BREST_P61_L62LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35
Group BREST_P61_L62LILLE_HT_Electre_Controles_Commande_Local_Tranche_Analogique,BREST_P61_L62LILLE_HT_Electre_Controles_Commande_Local_Tranche_Analogique
Group BREST_P61_L62LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,BREST_P61_L62LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40
Group BREST_P61_L62LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,BREST_P61_L62LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30
Group BREST_P61_Y631_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,BREST_P61_Y631_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique
Group BREST_P61_Y631_HT_DJ_HPGE_9_12E_Disjoncteurs_DJ_40,BREST_P61_Y631_HT_DJ_HPGE_9_12E_Disjoncteurs_DJ_40
Group BREST_P61_Y631_HT_S_5361_Rep_LT_Sectionneurs_SA_50,BREST_P61_Y631_HT_S_5361_Rep_LT_Sectionneurs_SA_50
Group BREST_P61_Y631_HT_TT_VTS72_33_70P1_Transformateurs_de_Mesure_TDM_50,BREST_P61_Y631_HT_TT_VTS72_33_70P1_Transformateurs_de_Mesure_TDM_50
Group BREST_P61_Y761_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,BREST_P61_Y761_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique
Group BREST_P61_Y761_HT_DJ_HPGE_9_12E_Disjoncteurs_DJ_40,BREST_P61_Y761_HT_DJ_HPGE_9_12E_Disjoncteurs_DJ_40
Group BREST_P61_Y761_HT_S_5361_Rep_LT_Sectionneurs_SA_50,BREST_P61_Y761_HT_S_5361_Rep_LT_Sectionneurs_SA_50
Group BREST_P61_Y761_HT_TT_VTS72_33_70P1_Transformateurs_de_Mesure_TDM_50,BREST_P61_Y761_HT_TT_VTS72_33_70P1_Transformateurs_de_Mesure_TDM_50
Group BREST_P61_Y761_HT_Y_Sans_Type_Transformateurs_de_Puissance_TDP,BREST_P61_Y761_HT_Y_Sans_Type_Transformateurs_de_Puissance_TDP
Group BREST_P62_BC61_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,BREST_P62_BC61_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60
