src,dest
C6,Replacement Replacement Pylônes
C1 Repairs,Repairs Repairs Lignes Aériennes
C1 Replace,Repairs Repairs Lignes Aériennes
C2 Repairs,Repairs Repairs Lignes Souterraines
C2 Replace,Replacement Replacement Lignes Souterraines
C3,Replacement Replacement Disjoncteurs
C4,Replacement Replacement Sectionneurs
C5,Replacement Replacement Transformateurs de Mesure
C7,Replacement Replacement Contrôles Commande Local
C8,Replacement Replacement Transformateurs de Puissance
P6,Replacement Replacement Pylônes
R6,Replacement Renewal Pylônes
R1,Replacement Renewal Lignes Aériennes
R2,Replacement Renewal Lignes Souterraines
R3,Replacement Renewal Disjoncteurs
R4,Replacement Renewal Sectionneurs
R5,Replacement Renewal Transformateurs de Mesure
R7,Replacement Renewal Contrôles Commande Local
R8,Replacement Renewal Transformateurs de Puissance
CB1 Inspection,Inspection Inspection Lignes Aériennes
CB2 Inspection,Inspection Inspection Lignes Souterraines
CB3 Inspection,Inspection Inspection Disjoncteurs
CB4 Inspection,Inspection Inspection Sectionneurs
CB6 Inspection,Inspection Inspection Disjoncteurs
CB1 Repairs,Repairs Maintenance Lignes Aériennes
CB1 Replace,Replacement Replacement Lignes Aériennes
CB2 Repairs,Repairs Maintenance Lignes Souterraines
CB2 Replace,Replacement Replacement Lignes Souterraines
CB3,Replacement Replacement Disjoncteurs
CB4,Replacement Replacement Sectionneurs
CB5,Replacement Replacement Transformateurs de Mesure
CB6 0<=AAge<50,Repairs Maintenance Disjoncteurs
CB6 110<=AAge,Replacement Replacement Disjoncteurs
LE Inspection,Inspection Lignes Entières
CB7 peint,Repairs Repairs Pylônes
CB7 inspection peinture,Inspection Inspection Pylônes
CB8 Inspection,Inspection Inspection Transformateurs de Puissance
